"","UTLAname","sample_tkit","mean_week_spend"
"1","Bracknell Forest",1,39.9268694218228
"2","City of London",0,NA
"3","Isles of Scilly",0,NA
"4","Reading",1,0
"5","Warrington",0,NA
"6","Windsor and Maidenhead",4,39.456209856032
"7","Wokingham",2,97.3264732414076
