"","UTLAname","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"111","Slough",27.897420625499,1.34042993889487,22.2716441620334,1.67955871343528,46,1
"112","Solihull",37.6303529462692,1.04534695985879,35.2852348993289,1.30981974070306,63,1
"113","Somerset",24.3420725601553,0.865914518382949,15.3536370903277,1.08499089153383,86,1
"114","South Gloucestershire",26.4303130024716,1.79875256690425,19.032437984039,2.25383696633102,28,1
"115","South Tyneside",28.2339934058752,1.58297815632091,23.7698451711555,1.9834716298701,16,1
"116","Southampton",25.3849815524193,1.18123097821405,16.7303102625298,1.4800824157022,55,1
"117","Southend-on-Sea",31.4233001791994,0.83514186551166,23.8232795242141,1.04643275748611,161,1
"118","Southwark",23.7670936338682,0.884573886265468,17.6574307304786,1.10837107949063,96,1
"119","St. Helens",34.8796318957019,1.51399722311773,25.5252834489659,1.89703852056652,60,1
"120","Staffordshire",27.8293181629273,0.843293674249307,22.3642645400246,1.05664697383438,116,1
"121","Stockport",44.8915153108472,2.85745787650654,33.4340222575517,3.58039471926269,34,1
"122","Stockton-on-Tees",34.6192817222973,0.944201265404162,26.7302435478008,1.18308418555141,138,1
"123","Stoke-on-Trent",28.0704095389058,1.13629448337921,24.6137716293896,1.42377698767416,78,1
"124","Suffolk",27.9720997245945,0.829612718318719,21.8153526970954,1.03950473605335,135,1
"125","Sunderland",32.7783354866318,1.32221546018611,28.04,1.6567359716132,55,1
"126","Surrey",35.5343227051337,0.600982811053511,28.6268578933105,0.753031462250049,174,1
"127","Sutton",36.166220403637,1.28962406246665,37.4866310160428,1.61589895027071,25,1
"128","Swindon",30.0241477698705,1.4644962998564,22.6677445432498,1.83501386372007,47,1
"129","Tameside",33.2752111149553,1.02469095987013,24.9910873440285,1.28393777271728,153,1
"130","Telford and Wrekin",30.0842633510276,1.08563397247094,24.2141623488774,1.36029936750609,55,1
"131","Thurrock",37.9950554230351,1.23325866986477,31.3864929619646,1.54527311334055,78,1
"132","Torbay",25.1242859866351,1.22126154952628,24.2708757637474,1.53024072155643,9,1
"133","Tower Hamlets",28.0211165474156,0.684529092491405,22.4874124466448,0.857714952891731,158,1
"134","Trafford",28.8452469535726,1.04646776885402,26.5787960467206,1.31122411437408,38,1
"135","Wakefield",24.6704148816185,1.44122990681203,18.915873015873,1.80586107323548,47,1
"136","Walsall",25.3412272780305,1.72631679446638,26.3286384976526,2.16307494346638,21,1
"137","Waltham Forest",28.3496278100885,0.769957072352022,23.4252297410192,0.964756211657084,130,1
"138","Wandsworth",27.4512082445595,1.30803103180395,18.7991309422103,1.63896288285035,50,1
"139","Warrington",NA,0,NA,0,0,1
"140","Warwickshire",30.4485099650272,0.463074177128315,24.9466192170818,0.580231943941778,269,1
"141","West Berkshire",22.5164378496024,1.92178050941771,19.7836312323612,2.40799097830039,13,1
"142","West Sussex",26.4570202576679,0.492636180050339,18.6933333333333,0.617273133603075,273,1
"143","Westminster",27.6774018266005,1.7368806101499,22.2893481717011,2.17631140451782,32,1
"144","Wigan",36.2308204819336,1.11271340400567,28.2969857433808,1.3942298952191,102,1
"145","Wiltshire",30.6803415282287,0.840123043134881,25.2158273381295,1.05267417304801,126,1
"146","Windsor and Maidenhead",23.4164478895326,2.21791763855056,23.3289953529404,2.77905080110385,4,1
"147","Wirral",31.9929465058428,0.779003903403829,25.2840396753832,0.976091890964997,127,1
"148","Wokingham",57.7612572835855,2.98680636796779,47.5182722348018,3.74246837906364,2,1
"149","Wolverhampton",33.2156855209108,0.781096135893193,29.0568900421649,0.978713458274171,108,1
"150","Worcestershire",26.6155337453562,0.458037392165767,22.1660079051383,0.573920852383705,381,1
"151","York",30.0211713341664,2.29599924338138,24.2597348903407,2.87688705195687,18,1
