"","UTLAname","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"30","Croydon",42.9378022093312,1.18419311620401,33.6139322996522,1.48379397460363,137,1.718739869
"31","Cumbria",42.4394171352479,0.600457869743138,35.7024553812427,0.752373710788151,472,1.718739869
"32","Darlington",54.2998796506549,2.5454261068517,42.5641885476076,3.18941891188518,45,1.718739869
"33","Derby",40.5693647831453,1.20576965933832,30.8349889522435,1.51082938315092,170,1.718739869
"34","Derbyshire",46.1891831661291,1.01639443213172,36.6565727233276,1.27354222346104,241,1.718739869
"35","Devon",34.4679017800823,0.785496699100435,22.2205413983298,0.984227363972845,164,1.718739869
"36","Doncaster",54.2586225301179,1.02781339415744,43.301043135499,1.28785018287927,315,1.718739869
"37","Dorset",39.9125668767025,1.53505867570798,31.2352774429922,1.9234285206621,51,1.718739869
"38","Dudley",39.8368307017953,1.46239676136064,33.8188953014793,1.83238314198488,73,1.718739869
"39","Ealing",44.7486655030424,1.41570418850316,38.7419871433948,1.77387734819446,82,1.718739869
"40","East Riding of Yorkshire",49.1248775893123,1.79701363642137,42.5429064533338,2.25165808643597,44,1.718739869
"41","East Sussex",38.121843227241,0.809948515079138,29.3417520354037,1.01486548939416,216,1.718739869
"42","Enfield",43.4190881041405,1.0508890688275,29.6386786889359,1.31676400324086,191,1.718739869
"43","Essex",47.642162164048,0.574688043475039,37.8980609260784,0.720084118474224,561,1.718739869
"44","Gateshead",35.5699404895504,2.60689691305985,32.7425238904466,3.26644183206399,15,1.718739869
"45","Gloucestershire",40.5436453618299,0.615175659207073,33.8009732583943,0.770815100986462,305,1.718739869
"46","Greenwich",45.8992162350186,1.50821693261258,41.0284500300363,1.88979581656356,124,1.718739869
"47","Hackney",36.6626540945914,1.08409019916663,27.5399121496503,1.35836501955578,159,1.718739869
"48","Halton",65.2598076012564,4.5706671519399,62.1661174840059,5.72704594138069,31,1.718739869
"49","Hammersmith and Fulham",41.335307543204,1.454619258009,27.896098454866,1.82263793028528,91,1.718739869
"50","Hampshire",47.2062501439931,1.00531933285184,38.2388708264928,1.25966512406335,139,1.718739869
"51","Haringey",36.3509486304808,1.03827451087065,25.3507299437957,1.30095796212093,137,1.718739869
"52","Harrow",54.2020140116194,1.66927732429437,42.3522154970717,2.09160448734085,57,1.718739869
"53","Hartlepool",58.7045999206468,4.46119657169412,26.9693177753023,5.58987930433273,23,1.718739869
"54","Havering",65.7240380880117,2.63390719392166,51.5498525421329,3.30028571398384,34,1.718739869
"55","Herefordshire",50.6634288579056,2.03152976322589,40.7738600569981,2.54550679332204,22,1.718739869
"56","Hertfordshire",41.4803747465718,0.790686645759716,33.8009732583943,0.990730367136925,170,1.718739869
"57","Hillingdon",45.0079065937118,2.79452145798217,42.5641885476076,3.50153538685165,25,1.718739869
"58","Hounslow",47.6819788278124,1.81944055466132,32.5752995600562,2.27975901499064,33,1.718739869
"59","Isle of Wight",51.0598960107353,1.87919591108105,50.1944000760707,2.35463247658455,30,1.718739869
"60","Isles of Scilly",NA,0,NA,0,0,1.718739869
"61","Islington",39.9588512083814,1.76363943675378,33.7741257816203,2.20984021425248,61,1.718739869
"62","Kensington and Chelsea",52.2207319492669,4.3287656197576,35.2287729908609,5.42394332155627,16,1.718739869
"63","Kent",43.8924767069766,0.645217410081312,36.7198828662003,0.808457414831883,373,1.718739869
"64","Kingston upon Hull",49.7683562894553,2.47936925778067,38.1169939473645,3.10664967999918,77,1.718739869
"65","Kingston upon Thames",32.0734919265876,5.87006275008605,20.234516314798,7.35518862585782,8,1.718739869
"66","Kirklees",41.4919044101474,1.03502428116561,36.7198828662003,1.29688542430051,149,1.718739869
"67","Knowsley",51.0460263851398,2.13469682420012,39.8142550178464,2.67477512072275,63,1.718739869
"68","Lambeth",42.4744186259769,1.25275011342895,37.9318682953256,1.56969589212648,120,1.718739869
"69","Lancashire",43.0033542422015,0.50566546848978,33.8009732583943,0.633598832017694,778,1.718739869
"70","Leeds",35.4840401653912,0.690714591015538,23.0671522026608,0.865465382542469,312,1.718739869
"71","Leicester",35.8437437064596,0.738693584454674,30.4596163030516,0.925583061321706,151,1.718739869
"72","Leicestershire",49.8755319188119,1.06662045261263,40.4967851038667,1.33647542712362,163,1.718739869
"73","Lewisham",41.6511971062666,0.905046556691885,33.6806266097705,1.13402333553493,200,1.718739869
"74","Lincolnshire",38.0729185527479,0.844871129193243,30.3725888279,1.05862352487913,243,1.718739869
"75","Liverpool",44.436470816729,0.746065666108996,33.8099342799368,0.934820279634571,400,1.718739869
"76","Luton",63.5570662244563,3.08526225102411,43.6566985205955,3.8658336005332,47,1.718739869
"77","Manchester",26.7823255428645,0.686424018213213,19.1194354132464,0.860089294821156,377,1.718739869
"78","Medway",52.8813576865439,1.80612693650795,41.6470365906562,2.26307705144446,75,1.718739869
"79","Merton",36.6596139884317,2.08792226054891,25.0884688417595,2.61616659246778,18,1.718739869
"80","Middlesbrough",58.7311973204169,1.34427887199357,47.5751198873558,1.68438142660795,156,1.718739869
"81","Milton Keynes",44.6708109912551,1.10437607208531,33.8278634519173,1.38378321832289,165,1.718739869
"82","Newcastle upon Tyne",55.9710238558531,1.5077956598664,45.3806023042263,1.8892679618126,145,1.718739869
"83","Newham",50.4993125885402,0.469330738383134,49.7678187723081,0.588071415194067,556,1.718739869
"84","Norfolk",36.6056637909558,0.752314227437169,27.1897653856195,0.942649726978773,236,1.718739869
