"","Ageband","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"1","16-24",19.8793982274164,0.135567925729018,13.2064056939502,0.16986661093846,3357,1
"2","25-34",24.2469109128137,0.144050130337871,19.6349206349206,0.180494813313352,3833,1
"3","35-44",26.5393610339659,0.152220251799304,22.0499108734403,0.190731975504527,3056,1
"4","45-54",27.8624148006258,0.155043190089386,22.3083859332732,0.194269117182001,3209,1
"5","55-64",28.6421712216029,0.159024280556979,23.1431244153414,0.199257423537894,2735,1
"6","65+",29.2887184306595,0.119980884853269,23.6068702290076,0.150336048721146,2531,1
