"","Ageband","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"1","16-24",31.6002740972416,0.21966273682623,21.6505215677495,0.275237409243266,3779,1.718739869
"2","25-34",39.4297920580034,0.251556438408843,31.2352774429922,0.31520021732628,4057,1.718739869
"3","35-44",42.940464743553,0.267388530369794,34.37479738,0.335037828553352,3241,1.718739869
"4","45-54",44.9409425937582,0.272866181537596,36.1896303080884,0.341901325466607,3402,1.718739869
"5","55-64",45.5136342112548,0.280476676515001,36.1896303080884,0.351437275673296,2958,1.718739869
"6","65+",44.0901118194805,0.215633619220074,35.6725036569295,0.270188924882753,2892,1.718739869
