"","Sex","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"1","Male",44.7200713547813,0.143543761377852,35.5829492544435,0.179860333006449,9848,1.718739869
"2","Female",43.4969936013053,0.139732123745051,35.2575608220147,0.175084351052549,8866,1.718739869
