"","Sex","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"1","Male",26.0191039734247,0.0835168625379995,20.7029288702929,0.104646628760113,9848,1
"2","Female",25.3074909041429,0.0812991693887628,20.5136108482363,0.10186785924412,8866,1
